path,loc,tier,status,finding_count,reviewed_at
src/operators/CMakeLists.txt,354,A,reviewed,0,2026-09-13
src/operators/framework/artifact_digest.cpp,45,A,reviewed,0,2026-09-13
src/operators/framework/artifact_digest.h,22,A,reviewed,0,2026-09-13
src/operators/framework/asset_index_pipeline.cpp,162,A,reviewed,0,2026-09-13
src/operators/framework/asset_index_pipeline.h,67,A,reviewed,0,2026-09-13
src/operators/framework/model_catalog.cpp,2134,A,reviewed,0,2026-09-13
src/operators/framework/model_catalog.h,514,A,reviewed,0,2026-09-13
src/operators/framework/model_readiness.h,41,A,reviewed,0,2026-09-13
src/operators/framework/rs_json_params.cpp,178,A,reviewed,0,2026-09-13
src/operators/framework/rs_json_params.h,46,A,reviewed,0,2026-09-13
src/operators/framework/rs_operation_logger.cpp,195,A,reviewed,0,2026-09-13
src/operators/framework/rs_operation_logger.h,119,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator.cpp,83,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator.h,209,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_context.cpp,155,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_context.h,133,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_error.cpp,74,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_error.h,98,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_registry.cpp,100,A,reviewed,0,2026-09-13
src/operators/framework/rs_operator_registry.h,93,A,reviewed,0,2026-09-13
src/operators/framework/rs_progress_callback.cpp,12,A,reviewed,0,2026-09-13
src/operators/framework/rs_progress_callback.h,42,A,reviewed,0,2026-09-13
src/operators/framework/rs_schema.cpp,141,A,reviewed,0,2026-09-13
src/operators/framework/rs_schema.h,84,A,reviewed,0,2026-09-13
src/operators/framework/sicnu_operators_export.h,11,A,reviewed,0,2026-09-13
src/operators/gdal/gdal_clip_operator.cpp,167,A,pending,0,
src/operators/gdal/gdal_clip_operator.h,43,A,pending,0,
src/operators/gdal/gdal_operator_utils.cpp,235,A,pending,0,
src/operators/gdal/gdal_operator_utils.h,101,A,pending,0,
src/operators/gdal/gdal_operators_init.cpp,46,A,pending,0,
src/operators/gdal/gdal_orthorectification_operator.cpp,207,A,pending,0,
src/operators/gdal/gdal_orthorectification_operator.h,52,A,pending,0,
src/operators/gdal/gdal_pansharpen_operator.cpp,166,A,pending,0,
src/operators/gdal/gdal_pansharpen_operator.h,29,A,pending,0,
src/operators/gdal/gdal_polygonize_operator.cpp,233,A,pending,0,
src/operators/gdal/gdal_polygonize_operator.h,44,A,pending,0,
src/operators/gdal/gdal_reproject_operator.cpp,185,A,pending,0,
src/operators/gdal/gdal_reproject_operator.h,44,A,pending,0,
src/operators/io/io_operators.cpp,728,A,pending,0,
src/operators/io/io_operators.h,199,A,pending,0,
src/operators/io/io_operators_init.cpp,52,A,pending,0,
src/operators/opencv/opencv_filter_operators.cpp,348,A,pending,0,
src/operators/opencv/opencv_filter_operators.h,140,A,pending,0,
src/operators/opencv/opencv_operator_base.cpp,283,A,pending,0,
src/operators/opencv/opencv_operator_base.h,97,A,pending,0,
src/operators/opencv/opencv_operators_init.cpp,46,A,pending,0,
src/operators/opencv/opencv_utils.cpp,265,A,pending,0,
src/operators/opencv/opencv_utils.h,67,A,pending,0,
src/operators/otb/otb_bundle_to_perfect_sensor_operator.cpp,37,A,pending,0,
src/operators/otb/otb_bundle_to_perfect_sensor_operator.h,30,A,pending,0,
src/operators/otb/otb_compute_images_statistics_operator.cpp,97,A,pending,0,
src/operators/otb/otb_compute_images_statistics_operator.h,40,A,pending,0,
src/operators/otb/otb_operator_base.cpp,284,A,pending,0,
src/operators/otb/otb_operator_base.h,89,A,pending,0,
src/operators/otb/otb_operators_init.cpp,41,A,pending,0,
src/operators/otb/otb_segmentation_operator.cpp,175,A,pending,0,
src/operators/otb/otb_segmentation_operator.h,48,A,pending,0,
src/operators/otb/otb_svm_classification_operator.cpp,110,A,pending,0,
src/operators/otb/otb_svm_classification_operator.h,40,A,pending,0,
src/operators/python/opencv_type_caster.h,138,A,pending,0,
src/operators/python/pybind_sicnu_operators.cpp,146,A,pending,0,
src/operators/python/sicnu_operators/__init__.py,10,A,pending,0,
src/operators/rs/rs_apply_mask_operator.cpp,476,A,pending,0,
src/operators/rs/rs_apply_mask_operator.h,61,A,pending,0,
src/operators/rs/rs_atmospheric_aliases.cpp,229,A,pending,0,
src/operators/rs/rs_atmospheric_aliases.h,100,A,pending,0,
src/operators/rs/rs_atmospheric_correction_operator.cpp,389,A,pending,0,
src/operators/rs/rs_atmospheric_correction_operator.h,68,A,pending,0,
src/operators/rs/rs_band_math_operator.cpp,116,A,pending,0,
src/operators/rs/rs_band_math_operator.h,48,A,pending,0,
src/operators/rs/rs_band_tools_operators.cpp,357,A,pending,0,
src/operators/rs/rs_band_tools_operators.h,66,A,pending,0,
src/operators/rs/rs_change_detection_operator.cpp,326,A,pending,0,
src/operators/rs/rs_change_detection_operator.h,59,A,pending,0,
src/operators/rs/rs_change_primitives.cpp,814,A,pending,0,
src/operators/rs/rs_change_primitives.h,181,A,pending,0,
src/operators/rs/rs_change_streaming.cpp,1355,A,pending,0,
src/operators/rs/rs_change_streaming.h,239,A,pending,0,
src/operators/rs/rs_continuum_removal_operator.cpp,295,A,pending,0,
src/operators/rs/rs_continuum_removal_operator.h,37,A,pending,0,
