track,convention,value,evidence
algorithm-foundation-5,branch_name,zcode/algorithm-foundation-5,.planning/algorithm-foundation-5/GOAL.md:3
algorithm-foundation-5,worktree_path,../exp-rs-algorithm-foundation-5,.planning/algorithm-foundation-5/GOAL.md:3
algorithm-foundation-5,base_pinned,origin/master @ 93a7fb0bbd,.planning/algorithm-foundation-5/GOAL.md:4
algorithm-foundation-5,token_budget,absent,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,subagent_limit,absent,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,no_ci_clause,"Local build/test/bench evidence only — never block on online CI",.planning/algorithm-foundation-5/GOAL.md:5
algorithm-foundation-5,build_parallelism,"Ninja -j2 default, -j1 under memory pressure",.planning/algorithm-foundation-5/GOAL.md:36
algorithm-foundation-5,never_nproc_ban,"never -j$(nproc)",.planning/algorithm-foundation-5/GOAL.md:37
algorithm-foundation-5,test_protocol,"targeted ctest -R <family> -j1",.planning/algorithm-foundation-5/GOAL.md:37
algorithm-foundation-5,master_readonly,implicit (track branch + worktree only),.planning/algorithm-foundation-5/GOAL.md:3
algorithm-foundation-5,pr_exit,"docs sync → coherent commits → PR",.planning/algorithm-foundation-5/GOAL.md:62
algorithm-foundation-5,fail_honesty,"delivered as executable subset + typed refusal … never faked",.planning/algorithm-foundation-5/GOAL.md:69-71
algorithm-foundation-5,review_gate,"5+ review lenses → P0/P1 remediation; review P0/P1 = 0",.planning/algorithm-foundation-5/GOAL.md:62,68
algorithm-foundation-5,autonomy_defaults,absent,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,ownership_section,absent,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,external_goal_refs,absent,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,skills_referenced,none,.planning/algorithm-foundation-5/GOAL.md:1-71
algorithm-foundation-5,language,EN,.planning/algorithm-foundation-5/GOAL.md:1
algorithm-foundation-5,planning_file_set,"ARCHITECTURE BASELINE CAPABILITY_MATRIX DOCS_LEDGER GOAL MILESTONES PERFORMANCE_PLAN REVIEW_LOG TEST_MATRIX",ls .planning/algorithm-foundation-5/
algorithm-foundation-5,single_chain_invariants,"No new scheduler/registry/runtime; kernel chain UI → TaskCenter → JobEngine → RSOperator → kernel",.planning/algorithm-foundation-5/GOAL.md:28-31
algorithm-foundation-5,phase_structure,"Phase 0 baseline audit + milestones A–L",.planning/algorithm-foundation-5/GOAL.md:41-62
cartography-platform-7,branch_name,feat/cartography-platform-7,.planning/cartography-platform-7/GOAL.md:17
cartography-platform-7,worktree_path,C:/Users/wangj.KEVIN/projects/exp-rs-cartography-platform-7,.planning/cartography-platform-7/GOAL.md:18
cartography-platform-7,base_pinned,absent,.planning/cartography-platform-7/GOAL.md:1-41
cartography-platform-7,token_budget,absent,.planning/cartography-platform-7/GOAL.md:1-41
